Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","13/04/2023 07:07 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=oEJg1s
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,"2022,2012"
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2022,Rwanda,RWA,-,-,248423,22907,-
2022,"El Salvador",SLV,-,-,54777,151770,-
2022,"Saudi Arabia",SAU,-,-,1908,1644,-
2022,Senegal,SEN,-,-,13730,18898,-
2022,Seychelles,SYC,-,-,9,0,-
2022,Singapore,SGP,-,-,23,105,-
2022,"Sierra Leone",SLE,-,-,6980,5813,-
2022,"Solomon Islands",SLB,-,-,43,447,-
2022,Somalia,SOM,-,-,799145,56879,-
2022,Spain,ESP,-,-,59,487,-
2022,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,30937,5547,-
2022,"Viet Nam",VNM,-,-,15654,10496,-
2022,"South Sudan",SSD,-,-,2362756,5272,-
2022,Stateless,XXA,-,-,57999,5341,-
2022,"Saint Kitts and Nevis",KNA,-,-,20,41,-
2022,"Sao Tome and Principe",STP,-,-,6,19,-
2022,Sudan,SDN,-,-,844260,83177,-
2022,Suriname,SUR,-,-,36,123,-
2022,Slovakia,SVK,-,-,602,172,-
2022,Slovenia,SVN,-,-,12,20,-
2022,Eswatini,SWZ,-,-,134,91,-
2022,Sweden,SWE,-,-,16,65,-
2022,Switzerland,CHE,-,-,5,21,-
2022,"Syrian Arab Rep.",SYR,-,-,6824062,131923,-
2022,"United Rep. of Tanzania",TZA,-,-,761,1839,-
2022,"Turks and Caicos Islands",TCA,-,-,14,0,-
2022,Thailand,THA,-,-,206,2974,-
2022,Tibetan,TIB,-,-,12593,0,-
2022,Tajikistan,TJK,-,-,3107,2345,-
2022,Turkmenistan,TKM,-,-,1754,808,-
2022,Timor-Leste,TLS,-,-,6,393,-
2022,Togo,TGO,-,-,7437,2846,-
2022,Tonga,TON,-,-,29,978,-
2022,"Trinidad and Tobago",TTO,-,-,291,585,-
2022,Tunisia,TUN,-,-,2479,6722,-
2022,Türkiye,TUR,-,-,102429,51444,-
2022,"United Arab Emirates",ARE,-,-,180,206,-
2022,Uganda,UGA,-,-,7724,12255,-
2022,"Unknown ",,-,-,95002,51514,-
2022,Ukraine,UKR,-,-,5437961,42120,-
2022,Uruguay,URY,-,-,69,599,-
2022,"United States of America",USA,-,-,1009,1621,-
2022,Uzbekistan,UZB,-,-,3760,6020,-
2022,Vanuatu,VUT,-,-,0,440,-
2022,"Holy See",VAT,-,-,0,13,-
2022,"Saint Vincent and the Grenadines",VCT,-,-,129,106,-
2022,"Venezuela (Bolivarian Republic of)",VEN,-,-,211944,1039207,5342069
2022,Samoa,WSM,-,-,7,224,-
2022,"Western Sahara",ESH,-,-,116938,671,-
2022,Yemen,YEM,-,-,40900,36775,-
2022,Zambia,ZMB,-,-,293,518,-
2022,Zimbabwe,ZWE,-,-,7828,13645,-
