Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","06/04/2023 14:28 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=15Eqwr
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2022,Armenia,ARM,Finland,FIN,0,5,-
2022,Armenia,ARM,France,FRA,6417,891,-
2022,Armenia,ARM,"United Kingdom of Great Britain and Northern Ireland",GBR,54,15,-
2022,Armenia,ARM,Germany,DEU,4180,1894,-
2022,Armenia,ARM,Greece,GRC,11,32,-
2022,Armenia,ARM,Hungary,HUN,39,0,-
2022,Armenia,ARM,Ireland,IRL,14,0,-
2022,Armenia,ARM,Israel,ISR,0,25,-
2022,Armenia,ARM,Italy,ITA,225,107,-
2022,Armenia,ARM,Lebanon,LBN,0,11,-
2022,Armenia,ARM,Luxembourg,LUX,5,0,-
2022,Armenia,ARM,"Rep. of Moldova",MDA,118,7,-
2022,Armenia,ARM,Malta,MLT,0,5,-
2022,Armenia,ARM,Netherlands,NLD,136,32,-
2022,Armenia,ARM,Norway,NOR,5,5,-
2022,Armenia,ARM,Panama,PAN,0,5,-
2022,Armenia,ARM,Poland,POL,155,23,-
2022,Armenia,ARM,Portugal,PRT,14,0,-
2022,Armenia,ARM,Romania,ROU,18,0,-
2022,Armenia,ARM,"Russian Federation",RUS,21,5,-
2022,Armenia,ARM,Spain,ESP,132,320,-
2022,Armenia,ARM,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,5,0,-
2022,Armenia,ARM,Slovakia,SVK,55,0,-
2022,Armenia,ARM,Sweden,SWE,344,135,-
2022,Armenia,ARM,Switzerland,CHE,148,28,-
2022,Armenia,ARM,Ukraine,UKR,52,0,-
2022,Armenia,ARM,"United States of America",USA,1415,6351,-
2022,Australia,AUS,Canada,CAN,0,12,-
2022,Australia,AUS,"Costa Rica",CRI,0,5,-
2022,Australia,AUS,"United Kingdom of Great Britain and Northern Ireland",GBR,5,0,-
2022,Australia,AUS,Germany,DEU,9,0,-
2022,Australia,AUS,"Rep. of Moldova",MDA,5,0,-
2022,Australia,AUS,Malaysia,MYS,0,5,-
2022,Australia,AUS,Poland,POL,5,0,-
2022,Australia,AUS,Portugal,PRT,5,0,-
2022,Australia,AUS,Spain,ESP,5,0,-
2022,Australia,AUS,"United States of America",USA,0,19,-
2022,Austria,AUT,Germany,DEU,5,0,-
2022,Austria,AUT,"Rep. of Moldova",MDA,8,0,-
2022,Austria,AUT,"United States of America",USA,13,5,-
2022,Azerbaijan,AZE,Armenia,ARM,27929,0,-
2022,Azerbaijan,AZE,Australia,AUS,10,12,-
2022,Azerbaijan,AZE,Austria,AUT,145,73,-
2022,Azerbaijan,AZE,Belgium,BEL,131,61,-
2022,Azerbaijan,AZE,Belarus,BLR,5,0,-
2022,Azerbaijan,AZE,"Bosnia and Herzegovina",BIH,5,0,-
2022,Azerbaijan,AZE,Bulgaria,BGR,11,0,-
2022,Azerbaijan,AZE,Canada,CAN,135,33,-
2022,Azerbaijan,AZE,Cyprus,CYP,0,6,-
2022,Azerbaijan,AZE,Czechia,CZE,35,16,-
2022,Azerbaijan,AZE,Denmark,DNK,30,9,-
2022,Azerbaijan,AZE,Estonia,EST,15,0,-
